"title","artist","album","source_count","sources"
"Last Nite","The Strokes","Is This It","3","Liked Songs; CL; …"
"Dreamscape","Austin Farwell","Dreamscape","2","Liked Songs; Lowercase"
"Adventure of a Lifetime","Coldplay","A Head Full of Dreams","2","Liked Songs; less goo"
"Changes - 2015 Remaster","David Bowie","Hunky Dory (2015 Remaster)","2","%^*+; na klar"
"Five Years - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","2","Liked Songs; %^*+"
"Lady Stardust - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","2","Liked Songs; %^*+"
"Moonage Daydream - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","2","Liked Songs; %^*+"
"The Man Who Sold the World - 2015 Remaster","David Bowie","The Man Who Sold the World (2015 Remaster)","2","Liked Songs; %^*+"
"i walk this earth all by myself","EKKSTACY","NEGATIVE","2","Liked Songs"
"Big Love - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","2","SORRY SORRY SPRRYYY; na klar"
"You Make Loving Fun - 2004 Remaster","Fleetwood Mac","Rumours","2","SORRY SORRY SPRRYYY; na klar"
"Banana Pancakes","Jack Johnson","In Between Dreams","2","Liked Songs; Fl"
"Acquiesce - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; Rockin n rollin"
"Be Here Now - Remastered","Oasis","Be Here Now (Deluxe Remastered Edition)","2","Liked Songs; %^*+"
"Cast No Shadow - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; %^*+"
"Champagne Supernova","Oasis","(What's The Story) Morning Glory?","2","Liked Songs; %^*+"
"Hello - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; Rockin n rollin"
"Live Forever - Remastered","Oasis","Definitely Maybe (Remastered)","2","Liked Songs; %^*+"
"Slide Away","Oasis","Definitely Maybe","2","Liked Songs; %^*+"
"Stop Crying Your Heart Out","Oasis","Heathen Chemistry","2","Liked Songs; %^*+"
"Supersonic - Remastered","Oasis","Definitely Maybe (Remastered)","2","Liked Songs; SORRY SORRY SPRRYYY"
"The Masterplan - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; %^*+"
"Sea of Dreams","Peter Bardens","Further Than You Know","2","Liked Songs; IVE BEEN MISSING OUT"
"Earthquake","Teksa","Tekno Trip 04","2","Tekk"
"Come Together - Remastered 2009","The Beatles","Abbey Road (Remastered)","2","%^*+; марян × talia"
"Eleanor Rigby - Remastered 2009","The Beatles","Revolver (Remastered)","2","Liked Songs; %^*+"
"Helter Skelter - Remastered 2009","The Beatles","The Beatles (Remastered)","2","Liked Songs; Rockin n rollin"
"Let It Be - Remastered 2009","The Beatles","Let It Be (Remastered)","2","Liked Songs; %^*+"
"Yesterday - Remastered 2009","The Beatles","Help! (Remastered)","2","Liked Songs; %^*+"
"On Earth","The Sundays","Blind","2","Liked Songs; fuck.."
"seasons","wave to earth","summer flows 0.02","2","Liked Songs; Na ja.."
"After Earth - Edit","Ben Böhmer","Morning Falls EP","1","Liked Songs"
"( . )_( . )","Bjarki","Happy Earthday","1","Whaaaa"
"Cripple","Brecc","Brecc 'Inner Earth' EP","1","Tekk"
"Exiled Mind","Brecc","Brecc 'Inner Earth' EP","1","Tekk"
"Inner Earth","Brecc","Brecc 'Inner Earth' EP","1","Tekk"
"Reborn","Brecc","Brecc 'Inner Earth' EP","1","Tekk"
"Wild Dreams (feat. Khalid)","Burna Boy, Khalid","Love, Damini","1","Tunes"
