"title","artist","album","source_count","sources"
"WE DID IT","DONDA, Kanye West, Ye","DONDA 2","2","Kanye ye; K¥_00"
"7969 Santa","Drake","For All The Dogs","2","Liked Songs; Tunes"
"8am in Charlotte","Drake","For All The Dogs","2","Liked Songs; Tunes"
"Daylight","Drake","For All The Dogs","2","Liked Songs; Tunes"
"Drew A Picasso","Drake","For All The Dogs","2","Liked Songs; Tunes"
"Fear Of Heights","Drake","For All The Dogs","2","Liked Songs; Tunes"
"Fire & Desire","Drake","Views","2","Liked Songs; Tunes"
"Flight's Booked","Drake","Honestly, Nevermind","2","Chillout; Turn it up"
"Headlines","Drake","Take Care (Deluxe)","2","Liked Songs; Tunes"
"Know Yourself","Drake","If You're Reading This It's Too Late","2","Liked Songs; Tunes"
"Lust For Life","Drake","So Far Gone","2","Liked Songs; Tunes"
"Nice For What","Drake","Scorpion","2","Liked Songs; Tunes"
"Time Flies","Drake","Dark Lane Demo Tapes","2","Liked Songs; Tunes"
"Tried Our Best","Drake","For All The Dogs","2","Liked Songs; Tunes"
"TSU","Drake","Certified Lover Boy","2","Liked Songs; Tunes"
"Virginia Beach","Drake","For All The Dogs","2","Liked Songs; Tunes"
"Rich Flex","Drake, 21 Savage","Her Loss","2","Gym; Tunes"
"Sneakin’","Drake, 21 Savage","Sneakin’","2","Liked Songs; Gym"
"Spin Bout U","Drake, 21 Savage","Her Loss","2","Gym; Tunes"
"Knife Talk (with 21 Savage ft. Project Pat)","Drake, 21 Savage, Project Pat","Certified Lover Boy","2","Gym"
"Pussy & Millions (feat. Travis Scott)","Drake, 21 Savage, Travis Scott","Her Loss","2","Gym; Tunes"
"Jumpman","Drake, Future","What A Time To Be Alive","2","Liked Songs; Tunes"
"Chicago Freestyle (feat. Giveon)","Drake, GIVĒON","Dark Lane Demo Tapes","2","Liked Songs; Tunes"
"First Person Shooter (feat. J. Cole)","Drake, J. Cole","For All The Dogs","2","Liked Songs; Tunes"
"From Time","Drake, Jhené Aiko","Nothing Was The Same (Deluxe)","2","марян × talia; Tunes"
"Girls Want Girls (with Lil Baby)","Drake, Lil Baby","Certified Lover Boy","2","Gym; Tunes"
"Hold On, We're Going Home","Drake, Majid Jordan","Nothing Was The Same (Deluxe)","2","Liked Songs; Tunes"
"Members Only (feat. PARTYNEXTDOOR)","Drake, PARTYNEXTDOOR","For All The Dogs","2","Liked Songs; Tunes"
"Take Care","Drake, Rihanna","Take Care (Deluxe)","2","Liked Songs; Tunes"
"Too Good","Drake, Rihanna","Views","2","Turn it up; Tunes"
"Slime You Out (feat. SZA)","Drake, SZA","For All The Dogs","2","Liked Songs; Tunes"
"Amen (feat. Teezo Touchdown)","Drake, Teezo Touchdown","For All The Dogs","2","Liked Songs; Tunes"
"Fair Trade (with Travis Scott)","Drake, Travis Scott","Certified Lover Boy","2","Liked Songs; Tunes"
"One Dance","Drake, Wizkid, Kyla","Views","2","Liked Songs; Tunes"
"Invertion.1","Edit Select","Suicide Boyerror","2","Liked Songs; GoDayumn"
"Say Yes","Elliott Smith","Either/Or","2","SORRY SORRY SPRRYYY; na klar"
"Say Yes - Remastered 2017","Elliott Smith","Either/Or (Expanded Edition)","2","Liked Songs; Г"
"Corner Of My Eye","Floating Points","Corner Of My Eye","2","Liked Songs; GoDayumn"
"goldeneye","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
